1
500 100000
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
2 3 N
